-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  32.7578   Longitude -97.3146 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 254.24 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PS                  MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,
TS                  MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,
WD50M               MERRA-2 Wind Direction at 50 Meters (Degrees) ,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
WS50M               MERRA-2 Wind Speed at 50 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,99.17,99,98.53,98.64,98.18,98.29,98.49,98.45,98.65,98.69,98.76,98.81,98.64
PS,1982,98.81,99.11,98.5,98.52,98.27,98.28,98.51,98.53,98.58,98.76,98.83,98.78,98.62
PS,1983,98.91,98.51,98.06,98.08,98.23,98.26,98.63,98.59,98.65,98.8,98.37,99.2,98.53
PS,1984,99.4,98.61,98.42,98.03,98.38,98.36,98.49,98.47,98.72,98.58,98.9,98.89,98.61
PS,1985,99.24,99.08,98.57,98.47,98.26,98.42,98.49,98.42,98.6,98.66,98.61,99.26,98.67
PS,1986,99.22,98.56,98.7,98.41,98.27,98.4,98.58,98.55,98.56,98.87,98.91,99.18,98.69
PS,1987,98.84,98.61,98.53,98.61,98.38,98.49,98.54,98.45,98.56,99,98.9,98.79,98.64
PS,1988,99.33,99.13,98.7,98.34,98.42,98.51,98.57,98.36,98.49,98.9,98.49,99.21,98.7
PS,1989,99.06,99.39,98.64,98.53,98.3,98.4,98.6,98.46,98.69,98.81,98.75,99.24,98.73
PS,1990,98.84,98.85,98.83,98.59,98.21,98.37,98.63,98.63,98.63,98.79,98.89,98.99,98.69
PS,1991,99.1,99.03,98.23,98.19,98.32,98.42,98.56,98.64,98.85,98.61,99.07,99.16,98.68
PS,1992,99.02,98.7,98.55,98.5,98.61,98.08,98.48,98.74,98.61,98.7,98.69,98.92,98.63
PS,1993,99.15,98.91,98.75,98.28,98.29,98.3,98.38,98.51,98.64,98.78,99.06,98.95,98.67
PS,1994,99.14,98.96,98.65,98.5,98.49,98.26,98.47,98.56,98.69,98.52,98.75,99.07,98.67
PS,1995,98.84,98.98,98.73,98.2,98.11,98.39,98.35,98.32,98.59,98.59,98.92,98.93,98.58
PS,1996,98.76,98.8,98.75,98.42,98.13,98.39,98.44,98.63,98.38,98.63,98.91,98.81,98.59
PS,1997,99.05,98.99,98.75,98.41,98.5,98.19,98.55,98.58,98.46,98.62,98.75,98.71,98.63
PS,1998,98.59,98.27,98.49,98.36,98.07,98.12,98.43,98.58,98.18,98.81,98.77,99.17,98.49
PS,1999,98.71,98.79,98.66,98.27,98.29,98.38,98.6,98.4,98.49,98.87,99.08,98.99,98.63
PS,2000,99.06,98.95,98.53,98.56,98.19,98.53,98.45,98.57,98.46,98.98,98.82,99.35,98.7
PS,2001,99.16,99,98.69,98.61,98.39,98.43,98.42,98.57,98.59,98.82,98.89,98.88,98.7
PS,2002,98.89,99.23,98.71,98.54,98.43,98.41,98.62,98.51,98.41,98.64,98.99,98.79,98.68
PS,2003,99.34,98.69,98.32,98.32,98.2,98.21,98.54,98.52,98.62,98.6,98.83,98.94,98.6
PS,2004,98.95,98.97,98.93,98.49,98.39,98.46,98.47,98.59,98.59,98.38,98.83,99.11,98.68
PS,2005,99.14,98.97,98.35,98.4,98.38,98.19,98.51,98.44,98.56,98.75,98.75,98.91,98.61
PS,2006,98.74,98.93,98.6,98.28,98.27,98.5,98.52,98.4,98.5,98.52,98.77,99.1,98.59
PS,2007,99.28,98.77,98.74,98.55,98.51,98.32,98.51,98.49,98.63,98.58,99.01,98.81,98.68
PS,2008,99.12,98.59,98.53,98.41,98.06,98.29,98.44,98.27,98.63,98.96,98.89,98.93,98.59
PS,2009,98.98,98.89,98.59,98.34,98.4,98.15,98.39,98.51,98.53,98.41,98.87,98.83,98.57
PS,2010,99,98.82,98.46,98.29,98.22,98.29,98.48,98.27,98.45,98.75,98.72,98.83,98.55
PS,2011,98.92,98.78,98.58,97.96,98.12,98.16,98.23,98.15,98.49,98.69,98.79,99.17,98.5
PS,2012,98.91,98.93,98.5,98.35,98.28,98.22,98.46,98.33,98.58,98.6,99.07,98.66,98.57
PS,2013,99.06,98.64,98.74,98.4,98.39,98.33,98.52,98.53,98.41,98.63,99.22,99.08,98.66
PS,2014,99.09,98.79,98.68,98.33,98.39,98.27,98.63,98.47,98.65,98.52,99.04,99.04,98.66
PS,2015,99.4,99.09,98.96,98.31,98.51,98.45,98.4,98.42,98.48,98.65,98.84,98.55,98.67
PS,2016,98.92,98.92,98.41,98.45,98.46,98.48,98.43,98.49,98.66,98.75,98.92,99.08,98.66
PS,2017,98.75,98.5,98.79,98.26,98.23,98.24,98.55,98.45,98.54,98.72,98.8,99.17,98.58
PS,2018,99.46,98.97,98.62,98.63,98.33,98.23,98.53,98.52,98.51,98.72,98.85,98.82,98.68
PS,2019,99.05,98.72,99.02,98.29,98.18,98.34,98.47,98.3,98.49,98.57,98.91,98.88,98.6
PS,2020,98.93,98.9,98.69,98.42,98.37,98.42,98.33,98.34,98.63,98.71,99.05,98.9,98.64
TS,1981,5.56,9.01,12.85,20.79,21.64,26.73,31.78,31.19,25.14,18.03,11.33,5.75,18.37
TS,1982,4.1,5.37,13.62,16.79,21.8,24.69,28.86,32.38,27.47,19.51,11.96,6.59,17.83
TS,1983,4.14,7.58,11.6,16.05,21.86,25.88,30.65,31.7,27.78,19.45,12.82,1,17.59
TS,1984,1.98,8.71,12.44,17.37,25.32,30.3,33,31.9,26.01,18.44,9.83,9.56,18.77
TS,1985,1.15,5.37,14.73,18.33,22.51,27.3,31.59,34.76,26.79,18.79,12.85,3.75,18.23
TS,1986,6.77,9.26,15.17,20.39,21.67,25.98,32.27,30.89,25.56,17.75,9.58,5.44,18.45
TS,1987,3.83,8.86,10.96,17.8,24.25,25.28,29.53,33.59,24.94,19.38,12.06,5.75,18.07
TS,1988,2.72,6.95,12.52,18.63,24.11,27.23,31.06,33.8,25.58,18.71,12.8,6.96,18.46
TS,1989,7.8,4.83,11.83,17.85,22.5,24.36,29.05,28.91,23.83,19.99,11.98,1.94,17.15
TS,1990,8.02,9.84,13.08,16.71,21.16,29.73,30,30.48,28.43,18.29,13.34,5.06,18.72
TS,1991,3.75,9.48,13.9,20.2,23.93,27.66,31.94,28.18,22.79,19.31,7.7,6.89,18.03
TS,1992,4.95,9.49,13.19,17.96,21.33,25.52,29.48,27.9,25.58,20.42,10.25,6.74,17.76
TS,1993,4.76,7.19,11.08,15.99,21.33,27.99,33.58,33.67,25.15,16.45,7.97,6.24,17.69
TS,1994,5.48,6.84,13.26,19.06,21.67,29.79,30.06,31.86,23.37,18.72,12.32,7.07,18.36
TS,1995,5.23,8.55,12.26,16.96,21.5,26.52,31.47,30.2,25.73,19.28,12.1,7.15,18.13
TS,1996,4.55,9.75,11.7,17.78,28.99,30.14,31.91,28.4,22.8,18.67,10.57,6.59,18.51
TS,1997,4.53,7.62,12.95,14.96,20.72,26.59,31.65,30.69,29.62,19.39,10,4.97,17.87
TS,1998,7.14,8.71,10.7,16.63,26.91,31.62,36.14,33.17,30.23,20.37,13.27,6.53,20.18
TS,1999,6.84,11.44,12.55,19.25,23.18,27.55,31.95,35.69,26.9,20.39,15.03,7.8,19.93
TS,2000,7.48,12.19,14.91,18.33,25.66,25.87,33.2,35.34,28.89,20.18,8.12,1.78,19.36
TS,2001,3.57,8.33,9.67,19.22,23.92,28.97,34.27,31.05,24.24,17.88,14.26,7.76,18.65
TS,2002,6.74,6.46,11.39,19.26,22.3,28.01,29.37,32.12,27.22,17.85,9.88,6.77,18.18
TS,2003,4.69,6.85,12.64,19.98,25.94,26.64,33.24,32.33,23.59,20.3,13.8,7.98,19.08
TS,2004,7.94,6.52,15.38,18.73,24.08,25.3,28.28,27.27,26.11,20.87,12.1,6.03,18.26
TS,2005,7.82,9.54,12.09,18.68,24.25,30.8,31.54,30.53,30.43,20.42,14.37,6.88,19.82
TS,2006,10.82,8.25,14.88,21.28,24.56,30.87,33.41,34.29,24.68,19.41,12.73,7.54,20.3
TS,2007,3.31,7.45,16.31,16.13,22.23,25.02,26.25,29.52,25.71,20.62,13.98,7.13,17.87
TS,2008,5.55,9.83,13.29,17.4,24.17,31.3,32.82,29.94,24.54,19.13,12.63,6.73,18.97
TS,2009,5.81,11.73,14.73,18.12,22.7,29.51,32.55,30.8,23.76,16.05,12.62,3.5,18.51
TS,2010,4.54,4,10.74,18.15,24.34,31.04,29.46,33.65,25.19,18.65,12.73,7.07,18.37
TS,2011,3.71,8.27,16.38,22.39,23.24,32.91,37.01,36.46,27.39,18.49,12.36,6.05,20.45
TS,2012,6.97,8.92,15.9,20.83,26.23,29.14,33.29,31.45,26.51,18.56,14.45,8.83,20.12
TS,2013,6.83,9.19,12.09,16.79,22.92,29.06,30.1,32.52,29.09,19.22,10.01,4.04,18.54
TS,2014,4.24,6.76,11.82,19.01,24.04,27.58,29.15,31.37,27.23,21.87,9.36,8.59,18.48
TS,2015,4.51,6.33,12.47,18.8,21.6,26.23,30.01,32.54,29.4,22.27,12.26,7.91,18.76
TS,2016,4.94,10.19,14.26,18.44,21.36,26.84,31.33,29.88,26.47,21.48,15.18,7.55,19.01
TS,2017,7.86,12.66,17.48,19.89,24.19,26.8,30.58,28.55,26.68,19.29,14.8,7.05,19.69
TS,2018,4.67,8.22,14.28,16.15,26.76,32.49,34.26,30.3,25.33,17.48,8.8,6.61,18.84
TS,2019,5.11,8.76,11.57,18.1,22.3,26.59,30.65,33.47,30.92,19.42,10.26,7.88,18.8
TS,2020,8.22,7.75,15.77,16.92,22.96,27.88,31.89,33.05,24.09,18.69,14.05,7.31,19.09
T2M,1981,5.66,8.85,12.79,20.56,21.26,26.31,30.37,29.63,24.54,18.01,11.8,6.08,18.03
T2M,1982,4.34,5.26,13.59,16.4,21.69,24.49,28.31,30.9,26.2,19.09,11.9,6.87,17.5
T2M,1983,4.4,7.37,11.44,15.65,21.28,25.12,29.3,30.21,26.42,19.26,12.98,0.83,17.07
T2M,1984,2.29,8.86,12.27,17,24.29,28.91,31.05,30.48,24.73,18.33,10.22,9.82,18.22
T2M,1985,1.27,5.24,14.55,18.32,22.31,26.5,30.11,32.75,25.76,18.72,12.95,4.11,17.78
T2M,1986,7.05,9.37,14.78,19.83,21.51,25.8,30.92,29.48,25.3,17.63,9.73,5.55,18.12
T2M,1987,4.12,8.87,11,17.37,23.68,25.15,28.51,31.9,24.45,18.8,12.14,6.04,17.72
T2M,1988,2.92,6.79,12.17,17.96,22.99,26.43,29.78,31.98,25.01,18.28,13.01,7.45,17.93
T2M,1989,7.91,4.43,11.69,17.54,22.42,24.1,27.98,27.85,22.91,19.62,12.21,1.98,16.8
T2M,1990,8.56,9.88,12.98,16.64,21.04,28.88,28.72,29.27,27.18,17.98,13.58,5.16,18.36
T2M,1991,3.75,9.62,13.83,19.68,23.43,26.94,30.24,27.5,22.44,19.2,8.08,7.35,17.72
T2M,1992,5.5,9.84,13.19,17.63,20.82,25.17,28.55,26.67,24.83,19.95,10.25,6.99,17.47
T2M,1993,4.74,7.13,11.01,15.81,20.86,27.14,31.8,31.98,24.44,16.3,8.26,6.69,17.25
T2M,1994,5.69,6.91,13.19,18.51,21.2,28.79,29.09,29.99,23.15,18.67,12.62,7.53,18.01
T2M,1995,5.71,8.84,12.09,16.85,21.33,25.75,30.33,29.41,24.83,19.08,12.06,7.13,17.83
T2M,1996,4.6,9.65,10.95,17.28,27.74,28.71,30.73,27.54,22.75,18.44,10.77,6.98,18.04
T2M,1997,4.69,7.8,13.11,14.78,20.52,26.01,30.19,29.12,28.07,19.05,10.03,5.17,17.43
T2M,1998,7.29,8.7,10.59,16.3,26.13,30.36,34.02,31.4,28.87,20.07,13.29,6.75,19.54
T2M,1999,7.08,11.68,12.18,19.18,22.62,26.76,30.24,33.43,25.63,19.69,15.12,8.15,19.35
T2M,2000,7.55,12.02,14.5,17.74,24.87,25.4,31.4,33.26,27.4,19.9,8.41,2.05,18.73
T2M,2001,4.01,8.37,9.69,19.15,23.34,27.64,32.25,29.84,23.55,17.63,14.27,8.17,18.21
T2M,2002,7.08,6.68,11.11,19.12,21.87,26.9,28.47,30.42,26.16,17.37,10.21,7.08,17.76
T2M,2003,4.82,6.64,12.19,19.34,24.87,25.92,31.22,30.8,23.01,19.94,13.76,8.27,18.48
T2M,2004,7.86,6.37,15.36,18.33,23.31,25.1,27.49,26.57,25.33,20.86,12.34,6.53,17.99
T2M,2005,7.89,9.61,11.98,18.05,23.11,29.26,29.84,29.35,28.92,19.76,14.37,7.09,19.14
T2M,2006,11.16,8.06,14.69,20.77,23.96,29.08,31.42,32.41,24.02,18.9,12.8,7.73,19.65
T2M,2007,3.48,7.48,16.13,15.76,22.04,25,25.92,28.8,25.18,20.19,13.74,7.27,17.64
T2M,2008,5.83,9.68,13.14,17.18,23.46,29.8,31.01,28.76,23.76,18.69,12.84,6.91,18.44
T2M,2009,6.06,11.51,14.19,17.7,22.13,28.52,30.87,29.42,23.35,15.93,13.03,3.71,18.06
T2M,2010,4.67,3.91,10.76,17.94,23.81,29.77,28.69,31.95,25.04,18.6,12.79,7.15,18
T2M,2011,3.97,8.07,15.54,21.74,22.64,31.48,34.57,34.54,26.25,18.5,12.47,6.3,19.73
T2M,2012,7.51,9.09,16.03,20.47,25.18,28.12,31.35,30.12,25.65,18.29,14.49,8.99,19.64
T2M,2013,7.23,9.06,11.71,16.29,22.3,28.06,28.78,30.74,27.9,18.9,10.01,4.3,17.98
T2M,2014,4.53,6.46,11.3,18.28,23.13,26.88,27.98,29.81,26,21.31,9.48,8.55,17.88
T2M,2015,4.81,6.2,12.36,18.54,21.58,26.1,29.23,30.74,27.91,21.52,12.51,8.76,18.43
T2M,2016,5.27,10.41,14.37,18.25,21.11,26.54,30.23,28.85,25.84,21.23,15.36,7.62,18.77
T2M,2017,7.94,12.76,16.91,19.39,23.15,26.12,29.51,27.69,25.74,19.05,14.73,7.2,19.21
T2M,2018,4.78,8,14.37,15.64,25.87,30.77,32.34,29.2,24.73,17.58,9.17,6.98,18.35
T2M,2019,5.45,8.65,11.51,17.94,22.13,26.11,29.34,31.8,29.66,18.68,10.55,8.31,18.4
T2M,2020,8.57,7.83,15.82,16.74,22.55,27.15,30.4,31.14,23.39,18.02,14.21,7.78,18.67
QV2M,1981,3.97,5.19,6.16,10.13,11.47,16.05,14.71,12.39,12.27,10.93,7.2,4.88,9.64
QV2M,1982,4.21,4.7,7.63,8,13.18,15.14,15.44,12.94,10.01,8.24,6.71,5.13,9.28
QV2M,1983,4.27,5.31,6.23,6.96,10.19,13.24,13.61,14.59,11.35,9.46,7.08,3.23,8.79
QV2M,1984,3.36,4.39,6.71,6.71,10.07,12.33,11.05,12.51,9.77,10.25,6.41,7.08,8.42
QV2M,1985,3.48,5,8.42,9.89,11.78,12.88,13.06,11.17,11.23,10.44,8.24,4.15,9.16
QV2M,1986,4.27,5.68,6.71,9.46,12.51,16.24,12.45,12.33,15.2,9.83,6.16,4.82,9.64
QV2M,1987,4.21,6.1,6.04,7.08,12.88,15.69,14.71,12.76,11.66,7.26,6.29,4.82,9.16
QV2M,1988,3.85,4.52,5.55,6.9,8.61,12.76,13.79,12.51,11.84,8.36,6.23,4.7,8.3
QV2M,1989,5.13,4.58,7.2,8.79,13.37,15.01,14.59,13.92,10.68,7.93,5.43,2.75,9.16
QV2M,1990,4.58,5.86,7.93,9.83,12.51,14.4,12.88,13.43,12.57,8.36,7.57,4.52,9.52
QV2M,1991,4.21,5.43,6.23,9.16,14.04,15.56,13.55,14.71,13.12,9.22,5.98,5.98,9.77
QV2M,1992,5,6.59,7.87,9.7,11.66,15.5,15.32,12.63,12.45,7.87,5.98,5.55,9.7
QV2M,1993,4.64,5.31,6.65,8.48,11.35,15.14,13.37,12.7,11.23,8.67,5.62,5.19,9.03
QV2M,1994,4.76,5,7.02,9.03,12.7,14.71,13.85,12.7,11.9,10.25,8.06,5.8,9.64
QV2M,1995,4.7,5.43,7.26,9.09,12.33,13.37,14.22,16.05,12.08,7.2,5.55,4.58,9.34
QV2M,1996,3.78,4.52,4.33,6.41,11.17,13.43,14.47,15.01,12.94,9.4,7.14,5.37,9.03
QV2M,1997,4.46,5.68,7.57,8.24,11.84,15.01,14.59,13.67,11.11,9.7,5.74,4.46,9.34
QV2M,1998,5.86,5.86,6.77,7.39,10.62,13.18,13.18,13.61,13.55,11.05,8.06,5.37,9.58
QV2M,1999,5.19,6.1,6.65,9.22,11.78,15.32,13.98,11.23,10.25,6.9,6.65,4.58,9.03
QV2M,2000,4.76,5.86,7.14,8.18,12.02,15.2,12.15,10.62,8.91,9.83,6.04,3.85,8.73
QV2M,2001,4.33,6.29,6.29,10.74,12.76,13.18,14.04,14.16,12.82,8.18,7.63,5.25,9.64
QV2M,2002,4.76,4.09,6.41,11.05,11.78,13.79,15.69,13.61,11.47,9.28,5.49,5.13,9.4
QV2M,2003,4.21,5.13,6.65,8.18,11.66,14.47,13.24,13.73,11.96,9.34,7.32,4.58,9.22
QV2M,2004,5.37,4.7,8.12,9.34,12.57,16.42,15.32,14.1,11.6,11.47,7.75,5.07,10.19
QV2M,2005,6.16,5.92,6.04,7.69,10.99,12.57,13.67,15.01,11.35,8.06,5.92,3.23,8.91
QV2M,2006,3.66,4.39,7.02,9.16,11.54,11.29,12.82,13.18,10.86,8.18,6.59,5,8.67
QV2M,2007,4.03,5,8.79,8.61,13.55,16.6,16.97,16.66,14.28,9.7,6.96,4.94,10.56
QV2M,2008,4.15,4.94,7.26,8.73,11.54,13.43,12.88,14.95,12.02,8.18,5.86,4.21,9.03
QV2M,2009,3.3,4.94,6.59,7.81,12.08,13.79,13.06,14.04,12.88,9.7,7.69,4.21,9.22
QV2M,2010,4.64,4.27,6.1,9.28,11.96,14.77,16.54,14.1,15.08,7.51,6.16,3.85,9.52
QV2M,2011,3.66,5.43,6.41,8.54,10.86,12.21,12.08,12.15,8.3,8.24,6.53,4.94,8.3
QV2M,2012,4.94,5.8,9.22,10.5,11.9,13.85,13.43,12.94,11.17,8.91,5.92,4.64,9.46
QV2M,2013,5.13,5,5.8,8.24,11.41,13.49,13.49,13.55,11.9,10.01,5.86,4.21,9.03
QV2M,2014,3.36,4.46,5.25,7.87,10.38,15.56,14.1,13.55,13,9.83,5.37,5.92,9.09
QV2M,2015,4.03,4.7,7.69,10.62,13.98,16.97,16.05,13.24,12.45,8.36,7.87,6.29,10.19
QV2M,2016,4.58,6.04,7.81,9.77,12.7,16.6,16.17,15.56,14.71,11.05,8.54,4.94,10.68
QV2M,2017,5,6.84,8.24,9.95,10.25,15.56,16.54,16.11,12.45,8.79,7.45,4.52,10.13
QV2M,2018,3.66,5.8,7.75,7.2,13.18,14.47,13.12,14.89,15.62,11.29,6.1,5.31,9.89
QV2M,2019,4.64,6.1,6.35,9.58,13.79,16.24,15.38,15.44,14.16,8.12,6.29,5.13,10.13
QV2M,2020,5.68,5.19,9.52,9.03,12.45,14.22,16.3,13.49,13.43,8.3,7.02,4.46,9.95
RH2M,1981,69.38,67.19,67.38,66.19,71.12,75.5,57.81,50.06,63.5,79.62,80.19,78.31,68.81
RH2M,1982,70.19,78.69,73.94,66.81,79.69,77.81,65.75,49,48.31,58.19,70.38,76.88,67.88
RH2M,1983,80.62,79.62,70.88,61.56,65.56,67.69,56.81,57.31,53.06,68.19,68.75,69.31,66.56
RH2M,1984,73.38,60.88,70.81,57.12,55.25,52.12,41.31,48,51.44,75.94,77.06,85.62,62.44
RH2M,1985,78.62,80.88,77.75,73.19,70.31,61.75,51.88,37.62,55.88,75.19,80.12,75.88,68.12
RH2M,1986,67.12,72.38,64.31,65.5,77.56,78.38,48.38,50.19,75.75,75.94,77.25,83.62,69.62
RH2M,1987,80.25,82.25,70.25,59.06,72.12,78.06,63.12,45.69,62.31,54.69,68.25,78,67.75
RH2M,1988,76.56,70.94,61.81,55.94,52.31,61.06,54.94,44.06,61.19,65.25,62.38,70.12,61.31
RH2M,1989,74.62,77.06,76.38,68.75,77.44,79,64.25,61.19,61.81,55.38,58.75,57,67.56
RH2M,1990,62.25,75.25,79,78.94,78.19,60.88,55.44,55.69,58.12,63.44,73.94,73.5,67.81
RH2M,1991,81.38,71.25,61.75,65.38,76.62,71.75,53.5,66.19,74.38,66.06,79.12,86.5,71.12
RH2M,1992,84.75,83.25,79.12,75.06,76,77.31,65.19,59.94,64.12,56.06,70.69,82.06,72.75
RH2M,1993,83.56,80.19,77.31,73.31,74.19,69.5,49.06,45,59.69,70.75,75.12,78.06,69.56
RH2M,1994,77.75,73.75,70.94,66,79.56,62.81,57.44,50.25,66.62,73.94,81.5,85.69,70.5
RH2M,1995,78.81,73.75,76.81,73.12,76.38,66.44,55.88,64.31,62.56,53.44,60.56,69.06,67.56
RH2M,1996,65.38,55.38,50.88,53.56,51.12,57.06,55.5,67.88,73.38,69.75,81.06,78.06,63.25
RH2M,1997,73.44,82.38,76.88,75.56,76.62,72,57,56.75,48.44,68.56,72.19,78.62,69.81
RH2M,1998,86.56,81.62,76.44,64.5,53.75,51.06,41.25,50,57.94,73.81,80.75,79.5,66.31
RH2M,1999,76.31,67.94,73.44,64.5,68.81,70.62,55,35.81,49.56,49.5,61.62,64.31,61.38
RH2M,2000,69.38,65.38,68,65.12,62.81,75.25,45.12,34.88,40.44,65.56,81.38,83.06,63
RH2M,2001,83.38,83.38,81,74.69,71.62,59.75,49.12,56.62,69.88,64.12,70.94,70.75,69.5
RH2M,2002,69.88,65.75,70.25,77.12,70.81,64.25,67,52.56,55.94,74.06,70,78.44,68.06
RH2M,2003,75.94,77.25,72.12,59.19,61.44,69.81,50.19,52.69,68.88,64,67.25,64.19,65.12
RH2M,2004,71.75,77.06,72.12,69.94,70.5,82.06,68.5,66,58.5,73.31,83.06,77.25,72.5
RH2M,2005,81.81,77.56,69.81,60.62,64.12,52.25,54.62,61.38,47.75,54.19,54.06,52.06,60.81
RH2M,2006,46.19,63.5,65.31,61.38,63.25,47.94,47.44,45.88,58.88,59.88,67.31,70.12,58.06
RH2M,2007,78.62,73.75,71.69,72.06,80.81,83,80.94,69.06,72.31,63.88,66.69,72.19,73.75
RH2M,2008,66.5,63.94,72,68.62,63.81,54.12,48.31,63.44,66.75,60.31,61.75,60.81,62.5
RH2M,2009,57,56.69,63.56,60.31,72.75,58.94,50.5,57.25,72.38,80.94,78.69,79.19,65.75
RH2M,2010,79,81.69,74.19,70.88,65.25,58.94,68.94,48.94,74.38,56.81,62.81,61.5,66.81
RH2M,2011,70.12,68,58.25,52.31,62.44,44.81,36.19,37.31,41.06,61.62,66.94,79.06,56.44
RH2M,2012,73.38,76.44,76.19,70,61.31,60.75,49.56,51.81,57,63.94,55.81,59,62.88
RH2M,2013,74.06,68.19,64.69,68.25,65.38,59.19,56.81,51,52.25,71.06,70.81,76.38,64.81
RH2M,2014,60.88,69.38,61.62,59.56,59.5,71,62.06,54,62.75,62.31,66.38,78.62,63.94
RH2M,2015,73.5,74.25,80.38,77.12,84.88,79.75,65.12,50.12,54.44,54,80.88,82.56,71.38
RH2M,2016,80.69,72.5,73.88,72.75,78.62,76.5,61.88,65.5,70.44,69.5,74.25,69.12,72.12
